FishName,Fish Length (pixel),FishArea(pixel^2),SpineLength(pixel),SpineCurvature(degrees),MaximumAnteriorCurve(degrees),MaximumPosteriorCurve(degrees),AverageVertebraLength,StandardDeviationVertebraLength,AverageVertebraArea,StandardDeviationVertebraArea,AverageBMD,StandardDeviationBMD,AverageDiskHealth,StandardDeviationDiskHealth,Age Cohort,Group
I20200224201730.3.dcm,2952,2952,1606976,2362,18.6,9.23,57.017,6.495,1622,254.085,19.69,7.592,14.97144556,6.349913354,Young 2,3
I20200224201730.4.dcm,3089,3089,1846343,2991,25.42,0,72.932,8.912,2221.3,234.201,27.311,9.081,18.25391998,8.245481487,Young 2,3
I20200224201730.5.dcm,2619,2619,1305633,2243,22.55,0,69.131,10.746,1929.7,373.184,23.826,6.23,17.76397277,4.048847807,Young 2,3
I20200224201730.6.dcm,2437,2437,1378234,2443,26.5,0,62.904,10.176,1892.4,310.517,25.437,5.481,16.02903455,2.824866324,Young 2,3
I20200224201730.7.dcm,2200,2200,1045668,2009,23.33,13.05,51.349,4.398,1114.2,164.055,9.8,5.887,5.530589588,4.343239167,Young 2,Wild Type
I20200224201917.1.dcm,2115,2115,819312,1866,11.44,0,54.853,2.672,1182,123.895,7.764,5.801,3.133813375,4.947681044,Young 2,Wild Type
I20200224201917.2.dcm,2708,2708,2123719,2821,30.51,18.29,81.38,6.403,2496.9,291.177,21.542,6.985,11.35733778,5.956957894,Young 2,Wild Type
I20200224201917.3.dcm,2508,2508,989278,2389,24.29,0,66.168,6.553,2089.5,328.25,27.708,4.646,20.33238204,3.107314682,Young 2,Wild Type
I20200224201917.4.dcm,2839,2839,1238738,2311,18.7,0,66.934,5.312,1887,244.763,21.39,5.091,14.17699188,6.081926118,Young 2,Wild Type
I20200224201917.5.dcm,3073,3073,1844800,2620,43.9,0,89.116,9.581,2069.8,208.593,18.086,6.701,8.908370255,6.603261317,Young 2,Wild Type
I20200224201917.6.dcm,2637,2637,1118755,2205,9.6,0,66.131,7.267,1821.5,220.835,12.308,4.893,3.661321549,4.908153275,Young 2,Wild Type
